Sklep;Nazwa;Model;Cena;Data;Procesor;Pamięć RAM;System operacyjny;Przekątna;Rozdzielczość;Matryca
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 1TB Wi-Fi Gwiezdna;11499;2023.06.24;Apple M2;16 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;APPLE;10.9 (10 gen.) 256GB Wi-Fi+Cellular;4529;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (5 gen.) 256GB Wi-Fi+Cellular;5599;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 512GB Wi-Fi Gwiezdna;6599;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Pro 11 (2020) 256GB Wi-Fi+Cellular;4747;2023.06.24;Apple A12Z Bionic, Apple M12 (koprocesor ruchu);6 GB;iPadOS;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 256GB Wi-Fi+Cellular;5059;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (2022) 256GB Wi-Fi+Cellular Księżycowa;5459;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;(Demo);mini WiFi;1597;2023.06.24;;;;;;
MediaMarkt;APPLE;10.2 (9 gen.) 256GB Wi-Fi;2799;2023.06.24;Apple A13 Bionic;;iPadOS 15;"10.2""";2160 x 1620;Retina
MediaMarkt;APPLE;10.9 (2022) 256GB Wi-Fi+Cellular;4549;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 1TB Wi-Fi;11499;2023.06.24;Apple M2;16 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;APPLE;mini 8.3 (6 gen.) 256GB Wi-Fi+Cellular Gwiezdna;4769;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;LENOVO;M8 HD;529;2023.06.24;MediaTek Helio A22;2 GB;Android 9.0 Pie;"8""";1280 x 800;IPS
MediaMarkt;HUAWEI;T10s 10.1;899;2023.06.24;Huawei HiSilicon Kirin 710A;4 GB;EMUI 10.1 (oparty na systemie Android 10);"10.1""";1920 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S8+;5199;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"12.4""";2800 x 1752;Super AMOLED
MediaMarkt;LENOVO;M10 Plus FHD;1199;2023.06.24;MediaTek Helio P22T;4 GB;Android 9.0 Pie;"10.3""";1920 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S8+;5199;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"12.4""";2800 x 1752;Super AMOLED
MediaMarkt;LENOVO;M10 Plus FHD;1199;2023.06.24;MediaTek Helio P22T;4 GB;Android 9.0 Pie;"10.3""";1920 x 1200;IPS
MediaMarkt;LENOVO;M10 Plus FHD;999;2023.06.24;MediaTek Helio P22T;4 GB;Android 9.0 Pie;"10.3""";1920 x 1200;IPS
MediaMarkt;HUAWEI;;1349;2023.06.24;HiSilicon Kirin 820;4 GB;EMUI 10.1 (oparty na systemie Android 10);"10.4""";2000 x 1200;IPS
MediaMarkt;HUAWEI;T10 9.7;699;2023.06.24;Huawei HiSilicon Kirin 710A;4 GB;EMUI 10.1 (oparty na systemie Android 10);"9.7""";1280 x 800;IPS
MediaMarkt;SAMSUNG;Tab S8 Ultra;6469;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"14.6""";2960 x 1848;Super AMOLED
MediaMarkt;LENOVO;M10 HD;699;2023.06.24;MediaTek Helio P22T;4 GB;Android 10;"10.1""";1280 x 800;IPS
